Order,PID,1st Flr SF,1st Flr SF (box-cox-0),2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Gr Liv Area,Gr Liv Area (box-cox-0),Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Area (box-cox-0.1),Lot Config,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,Sale Condition,Sale Type,Screen Porch,Street,TotRms AbvGrd,Total Bath,Total Bsmt SF,Total Porch SF,Total SF,Total SF (box-cox-0.2),Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,SalePrice,SalePrice (box-cox-0)
803,906203120,2196.0,7.694392802629421,0.0,0.0,NA,3,1Fam,TA,Mn,0,0,Gd,1496.0,485.0,177.0,ALQ,BLQ,Y,Norm,Norm,SBrkr,0.0,TA,Gd,HdBoard,HdBoard,NA,TA,1,CBlock,2,Typ,701.0,3,TA,RFn,TA,Attchd,2196.0,7.694392802629421,0,GasA,Gd,1Story,1,Gd,Lvl,Gtl,14684.0,16.102640230148054,CulDSac,IR1,0.0,020,RL,234.0,BrkFace,NA,0.0,6,SawyerW,70.0,7,7,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,7,2.0,2158.0,154.0,4354.0,21.71453931403609,AllPub,84.0,1990,1991,2009,271900.0,12.513189630620563
804,906223060,1006.0,6.913737350659685,769.0,0.0,NA,3,1Fam,TA,No,1,0,Gd,227.0,513.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,192.0,TA,Gd,HdBoard,HdBoard,NA,TA,1,PConc,2,Typ,425.0,2,TA,Unf,TA,Attchd,1775.0,7.4815557019095165,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9317.0,14.94178949640767,Inside,Reg,0.0,060,RL,137.0,BrkFace,NA,0.0,7,SawyerW,72.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,3.5,740.0,498.0,2515.0,18.93743445921481,AllPub,234.0,1993,1993,2009,213000.0,12.269047444691562
805,906223080,1079.0,6.983789965258135,800.0,0.0,NA,3,1Fam,Gd,No,1,0,Gd,605.0,474.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,144.0,Gd,Gd,VinylSd,VinylSd,MnPrv,TA,1,PConc,2,Typ,473.0,2,TA,RFn,TA,Attchd,1879.0,7.538494999413465,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,10560.0,15.256106011382883,Corner,Reg,0.0,060,RL,0.0,None,NA,0.0,8,SawyerW,100.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,3.5,1079.0,644.0,2958.0,19.7268980523522,AllPub,400.0,1993,1994,2009,239900.0,12.387977448827787
806,906223210,1142.0,7.040536390215956,878.0,0.0,NA,3,1Fam,TA,No,0,0,Gd,544.0,584.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,466.0,2,TA,RFn,TA,Attchd,2020.0,7.61085279039525,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9828.0,15.0753217772567,Inside,IR1,0.0,060,RL,0.0,None,NA,0.0,6,SawyerW,155.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,2.5,1128.0,155.0,3148.0,20.036692136774764,AllPub,0.0,1995,1995,2009,239500.0,12.386308695833106
807,906226060,1288.0,7.160845906664299,728.0,0.0,NA,4,1Fam,NA,NA,0,0,NA,0.0,0.0,0.0,NA,NA,Y,Feedr,Norm,SBrkr,0.0,TA,Gd,HdBoard,HdBoard,NA,TA,1,PConc,1,Mod,576.0,2,TA,Unf,TA,Attchd,2016.0,7.60887062919126,0,GasA,Ex,2Story,1,TA,Bnk,Gtl,26400.0,17.67963714963221,FR2,Reg,0.0,070,RL,0.0,None,NA,0.0,6,SawyerW,0.0,7,5,P,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,1.0,0.0,0.0,2016.0,17.901720489235824,AllPub,0.0,1880,2007,2009,131000.0,11.782952602183288
808,906226070,1535.0,7.336285660021297,0.0,0.0,NA,4,Duplx,NA,NA,0,0,NA,0.0,0.0,0.0,NA,NA,Y,Norm,Norm,SBrkr,0.0,Fa,TA,HdBoard,HdBoard,NA,NA,0,Slab,2,Typ,410.0,2,TA,Unf,TA,Attchd,1535.0,7.336285660021297,0,GasA,TA,1Story,2,TA,Bnk,Gtl,7018.0,14.244952432594275,Inside,Reg,0.0,090,RL,0.0,None,NA,0.0,6,SawyerW,0.0,5,5,Y,0.0,NA,CompShg,Gable,Alloca,WD,0.0,Pave,8,2.0,0.0,0.0,1535.0,16.686610542974574,AllPub,0.0,1979,1979,2009,118964.0,11.686576205316552
809,906226080,1224.0,7.1098794630722715,0.0,0.0,NA,2,Duplx,TA,Av,2,0,Gd,0.0,1086.0,0.0,GLQ,Unf,Y,Feedr,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,NA,TA,2,CBlock,0,Typ,528.0,2,TA,Unf,TA,Detchd,1224.0,7.1098794630722715,2,GasA,TA,SFoyer,2,TA,Bnk,Gtl,7018.0,14.244952432594275,Inside,Reg,0.0,090,RL,275.0,Stone,NA,0.0,6,SawyerW,0.0,5,5,Y,0.0,NA,CompShg,Gable,Alloca,WD,0.0,Pave,6,3.0,1086.0,120.0,2310.0,18.53381853227387,AllPub,120.0,1979,1979,2009,153337.0,11.940393392554734
810,906226090,1114.0,7.01571242048723,1114.0,0.0,NA,6,Duplx,NA,NA,0,0,NA,0.0,0.0,0.0,NA,NA,Y,Feedr,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,NA,NA,0,Slab,2,Typ,720.0,2,TA,Unf,TA,Detchd,2228.0,7.708859601047175,0,GasA,TA,2Story,2,TA,Lvl,Gtl,7018.0,14.244952432594275,Inside,Reg,0.0,090,RL,0.0,None,NA,0.0,6,SawyerW,0.0,5,5,Y,0.0,NA,CompShg,Gable,Alloca,WD,0.0,Pave,8,2.0,0.0,73.0,2228.0,18.364314398974642,AllPub,73.0,1979,1979,2009,147983.0,11.904852681283913
811,906226100,1535.0,7.336285660021297,0.0,0.0,NA,4,Duplx,NA,NA,0,0,NA,0.0,0.0,0.0,NA,NA,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,GdPrv,NA,0,Slab,2,Typ,400.0,2,TA,Unf,TA,Attchd,1535.0,7.336285660021297,0,GasA,TA,1Story,2,TA,Bnk,Gtl,7018.0,14.244952432594275,Inside,Reg,0.0,090,RL,0.0,None,NA,0.0,6,SawyerW,0.0,5,5,Y,0.0,NA,CompShg,Gable,Alloca,WD,0.0,Pave,8,2.0,0.0,0.0,1535.0,16.686610542974574,AllPub,0.0,1979,1979,2009,118858.0,11.685684782260491
812,906226110,1535.0,7.336285660021297,0.0,0.0,NA,4,Duplx,NA,NA,0,0,NA,0.0,0.0,0.0,NA,NA,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,NA,NA,0,Slab,2,Typ,400.0,2,TA,Unf,TA,Attchd,1535.0,7.336285660021297,0,GasA,TA,1Story,2,TA,Bnk,Gtl,7018.0,14.244952432594275,Inside,Reg,0.0,090,RL,0.0,None,NA,0.0,6,SawyerW,0.0,5,5,Y,0.0,NA,CompShg,Gable,Alloca,WD,0.0,Pave,8,2.0,0.0,0.0,1535.0,16.686610542974574,AllPub,0.0,1979,1979,2009,118858.0,11.685684782260491
813,906226120,1120.0,7.02108396428914,1120.0,0.0,NA,6,Duplx,NA,NA,0,0,NA,0.0,0.0,0.0,NA,NA,Y,Feedr,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,NA,NA,0,Slab,2,Typ,528.0,2,TA,Unf,TA,Detchd,2240.0,7.7142311448490855,0,GasA,TA,2Story,2,TA,Lvl,Gtl,7018.0,14.244952432594275,Inside,Reg,0.0,090,RL,0.0,None,NA,0.0,6,SawyerW,0.0,5,5,Y,0.0,NA,CompShg,Gable,Alloca,WD,0.0,Pave,12,2.0,0.0,154.0,2240.0,18.389428374280204,AllPub,154.0,1979,1979,2009,142953.0,11.870271183889114
814,906226130,1229.0,7.113956109566034,0.0,0.0,NA,2,Duplx,TA,Av,2,0,Gd,0.0,1094.0,0.0,GLQ,Unf,Y,Feedr,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,NA,TA,2,CBlock,0,Typ,672.0,2,TA,Unf,TA,Detchd,1229.0,7.113956109566034,2,GasA,TA,SFoyer,2,Gd,Lvl,Gtl,7040.0,14.252542030975919,Inside,Reg,0.0,090,RL,216.0,BrkFace,NA,0.0,6,SawyerW,0.0,5,5,Y,0.0,NA,CompShg,Gable,Alloca,WD,0.0,Pave,6,3.0,1094.0,120.0,2323.0,18.5602473861238,AllPub,120.0,1979,1979,2009,148325.0,11.907161091126843
815,906226140,1513.0,7.321849713788356,0.0,0.0,NA,4,Duplx,NA,NA,0,0,NA,0.0,0.0,0.0,NA,NA,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,NA,NA,0,Slab,2,Typ,400.0,2,TA,Unf,TA,Attchd,1513.0,7.321849713788356,0,GasA,TA,1Story,2,TA,Bnk,Gtl,7007.0,14.241149600290317,Inside,Reg,0.0,090,RL,0.0,None,NA,0.0,6,SawyerW,0.0,5,5,Y,0.0,NA,CompShg,Gable,Alloca,WD,0.0,Pave,8,2.0,0.0,0.0,1513.0,16.624087495586938,AllPub,0.0,1979,1979,2009,113722.0,11.641512152666213
816,906230010,1168.0,7.0630481633881725,1619.0,0.0,NA,6,Duplx,TA,No,2,0,Ex,348.0,820.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,NA,TA,2,PConc,4,Typ,820.0,4,TA,Fin,TA,BuiltIn,2787.0,7.932721027481948,2,GasA,Ex,2Story,2,TA,Lvl,Gtl,11855.0,15.549955956801886,Inside,Reg,0.0,090,RL,23.0,BrkFace,NA,0.0,10,SawyerW,0.0,5,7,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,8,7.0,1168.0,312.0,3955.0,21.205913423172678,AllPub,312.0,2000,2000,2009,269500.0,12.504323669331189
817,906230020,1168.0,7.0630481633881725,1619.0,0.0,NA,6,Duplx,TA,No,2,0,Ex,348.0,820.0,0.0,GLQ,Unf,Y,Feedr,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,NA,TA,2,PConc,4,Typ,820.0,4,TA,Fin,TA,BuiltIn,2787.0,7.932721027481948,2,GasA,Ex,2Story,2,TA,Lvl,Gtl,7939.0,14.545765463875489,Inside,Reg,0.0,090,RL,23.0,BrkFace,NA,0.0,10,SawyerW,0.0,5,7,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,8,7.0,1168.0,312.0,3955.0,21.205913423172678,AllPub,312.0,2000,2000,2009,269500.0,12.504323669331189
818,906230030,1168.0,7.0630481633881725,1619.0,0.0,NA,6,Duplx,TA,No,2,0,Ex,348.0,820.0,0.0,GLQ,Unf,Y,Feedr,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,NA,TA,2,PConc,4,Typ,820.0,4,TA,Fin,TA,BuiltIn,2787.0,7.932721027481948,2,GasA,Ex,2Story,2,TA,Lvl,Gtl,7976.0,14.557181186568465,Inside,Reg,0.0,090,RL,23.0,BrkFace,NA,0.0,10,SawyerW,0.0,5,7,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,8,7.0,1168.0,312.0,3955.0,21.205913423172678,AllPub,312.0,2000,2000,2009,269500.0,12.504323669331189
819,906340100,1680.0,7.426549072397305,0.0,0.0,NA,1,1Fam,TA,Gd,1,0,Ex,534.0,1021.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Ex,VinylSd,VinylSd,NA,Gd,1,PConc,1,Typ,1138.0,3,TA,Fin,TA,Attchd,1680.0,7.426549072397305,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,10933.0,15.34392850735009,Inside,Reg,0.0,020,RL,242.0,Stone,NA,0.0,7,CollgCr,24.0,5,9,Y,0.0,NA,CompShg,Hip,Partial,New,0.0,Pave,8,2.5,1555.0,209.0,3235.0,20.173573001019694,AllPub,185.0,2009,2009,2009,323262.0,12.686218418914901
820,906340110,1718.0,7.4489161025442,0.0,0.0,NA,3,1Fam,TA,Gd,1,0,Ex,417.0,1288.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,826.0,3,TA,RFn,TA,Attchd,1718.0,7.4489161025442,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10637.0,15.274461772398737,Inside,Reg,0.0,020,RL,336.0,Stone,NA,0.0,9,CollgCr,44.0,5,8,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,7,3.0,1705.0,252.0,3423.0,20.459588748218412,AllPub,208.0,2007,2008,2009,297000.0,12.601487417784837
821,906340120,1630.0,7.396335293800808,0.0,0.0,NA,3,1Fam,TA,Gd,1,0,Ex,1622.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,860.0,3,TA,RFn,TA,Attchd,1630.0,7.396335293800808,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,10226.0,15.175063742007898,Inside,IR1,0.0,020,RL,270.0,Stone,NA,0.0,1,CollgCr,42.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,3.0,1622.0,214.0,3252.0,20.199975103678927,AllPub,172.0,2008,2008,2009,295493.0,12.596400426884427
822,906340130,1720.0,7.450079569807499,0.0,0.0,NA,3,1Fam,TA,Gd,1,0,Ex,616.0,1104.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Ex,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,846.0,3,TA,RFn,TA,Attchd,1720.0,7.450079569807499,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,10816.0,15.316675083159671,Inside,IR1,0.0,020,RL,364.0,Stone,NA,0.0,11,CollgCr,104.0,5,9,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,3.0,1720.0,312.0,3440.0,20.484827179552635,AllPub,208.0,2008,2008,2009,332000.0,12.712890247898626
823,906378110,1468.0,7.291656209174461,0.0,0.0,NA,3,1Fam,TA,Av,0,0,Gd,1468.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,904.0,3,TA,RFn,TA,Attchd,1468.0,7.291656209174461,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9178.0,14.904326726441006,Inside,Reg,0.0,020,RL,0.0,None,NA,0.0,6,CollgCr,142.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,2.0,1468.0,334.0,2936.0,19.69000708662095,AllPub,192.0,2008,2008,2009,239900.0,12.387977448827787
824,906380050,866.0,6.763884908562435,902.0,0.0,NA,3,1Fam,TA,Av,0,0,Gd,846.0,20.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,578.0,2,TA,RFn,TA,Attchd,1768.0,7.477604243197589,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,10769.0,15.305652367788824,Inside,IR1,0.0,060,RL,0.0,None,NA,0.0,4,CollgCr,105.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,2.5,866.0,249.0,2634.0,19.159790191318667,AllPub,144.0,2007,2007,2009,212000.0,12.26434155365415
825,906380060,1838.0,7.516433302915632,0.0,0.0,NA,3,1Fam,TA,Av,1,0,Ex,479.0,1359.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,2,PConc,2,Typ,524.0,2,TA,RFn,TA,Attchd,1838.0,7.516433302915632,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11422.0,15.455065306470267,Inside,IR1,0.0,020,RL,352.0,Stone,NA,0.0,4,CollgCr,222.0,5,8,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,7,3.0,1838.0,376.0,3676.0,20.82528392480049,AllPub,154.0,2007,2008,2009,272500.0,12.515393893085436
826,906380100,1800.0,7.495541943884256,0.0,0.0,NA,2,1Fam,TA,No,0,0,Ex,1800.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,702.0,2,TA,Fin,TA,Attchd,1800.0,7.495541943884256,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,11923.0,15.56457365969805,Corner,IR1,0.0,020,RL,0.0,None,NA,0.0,5,CollgCr,136.0,5,9,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,2.0,1800.0,424.0,3600.0,20.71760398377521,AllPub,288.0,2007,2007,2009,239000.0,12.384218830913648
827,906380130,1604.0,7.38025578842646,0.0,0.0,NA,3,1Fam,TA,No,1,0,Gd,270.0,1334.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,660.0,2,TA,RFn,TA,Attchd,1604.0,7.38025578842646,1,GasA,Ex,1Story,1,Gd,Lvl,Gtl,8814.0,14.803747671347516,Inside,Reg,0.0,020,RL,180.0,Stone,NA,0.0,3,CollgCr,110.0,5,7,Y,0.0,NA,CompShg,Gable,Abnorml,WD,0.0,Pave,8,3.5,1604.0,233.0,3208.0,20.131411206627433,AllPub,123.0,2006,2006,2009,220000.0,12.301382825334498
828,906380210,1290.0,7.162397497355718,0.0,0.0,NA,2,1Fam,TA,Av,1,0,Gd,380.0,902.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,662.0,2,TA,RFn,TA,Attchd,1290.0,7.162397497355718,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,6762.0,14.15502640902519,Inside,Reg,0.0,020,RL,0.0,None,NA,0.0,5,CollgCr,0.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,3.0,1282.0,168.0,2572.0,19.04496765411011,AllPub,168.0,2007,2007,2009,200000.0,12.206072645530174
829,906380220,1254.0,7.134093721192866,0.0,0.0,NA,2,1Fam,TA,Av,1,0,Gd,382.0,872.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,810.0,3,TA,RFn,TA,Attchd,1254.0,7.134093721192866,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10324.0,15.199086631477892,Corner,IR1,0.0,020,RL,140.0,BrkFace,NA,0.0,3,CollgCr,92.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,3.0,1254.0,260.0,2508.0,18.924094586169648,AllPub,168.0,2008,2008,2009,221800.0,12.309531353898404
830,906392070,1232.0,7.116394144093465,0.0,0.0,NA,2,1Fam,TA,Av,1,0,Gd,508.0,724.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,632.0,2,TA,RFn,TA,Attchd,1232.0,7.116394144093465,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,7314.0,14.345320460951143,Inside,Reg,0.0,020,RL,82.0,Stone,NA,0.0,2,CollgCr,0.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,3.0,1232.0,132.0,2464.0,18.839555034548997,AllPub,132.0,2007,2007,2009,194500.0,12.178187442040638
831,906392110,1498.0,7.311886164077165,0.0,0.0,NA,3,1Fam,TA,Gd,0,0,Ex,1474.0,24.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,844.0,3,TA,Fin,TA,Attchd,1498.0,7.311886164077165,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11645.0,15.504331773953606,Inside,Reg,0.0,020,RL,76.0,Stone,NA,0.0,3,CollgCr,98.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,2.0,1498.0,242.0,2996.0,19.790104993666894,AllPub,144.0,2005,2006,2009,237000.0,12.375815420117268
832,906392130,704.0,6.556778356158042,718.0,0.0,NA,3,1Fam,TA,Av,0,0,Gd,704.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,440.0,2,TA,Fin,TA,Attchd,1422.0,7.259819610363186,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11646.0,15.504550780791376,Inside,IR1,0.0,060,RL,0.0,None,NA,0.0,7,CollgCr,28.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,2.5,704.0,64.0,2126.0,18.146357487837427,AllPub,36.0,2005,2006,2009,173000.0,12.061046873479915
833,906402060,1644.0,7.404887575616125,0.0,0.0,NA,2,1Fam,TA,Gd,1,1,Gd,0.0,1518.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,Wd Sdng,Wd Sdng,NA,TA,1,PConc,2,Typ,569.0,2,TA,Fin,TA,Attchd,1644.0,7.404887575616125,0,GasA,Gd,SLvl,1,Gd,Low,Mod,12800.0,15.74666587090448,Inside,Reg,0.0,080,RL,145.0,BrkFace,NA,0.0,8,SawyerW,0.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,396.0,Pave,5,3.5,1518.0,476.0,3162.0,20.058921604196474,AllPub,80.0,1989,1989,2009,275000.0,12.524526376648708
834,906426210,944.0,6.8501261661455,815.0,0.0,NA,3,1Fam,TA,Av,1,0,Gd,649.0,800.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,525.0,2,TA,Unf,TA,Attchd,1759.0,7.472500744737558,1,GasA,Gd,2Story,1,Gd,HLS,Mod,16698.0,16.44030409046133,CulDSac,IR1,0.0,060,RL,0.0,None,NA,0.0,6,ClearCr,193.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,3.5,1449.0,343.0,3208.0,20.131411206627433,AllPub,150.0,1992,1993,2009,233500.0,12.360937356091089
835,906475070,1160.0,7.05617528410041,966.0,0.0,NA,3,1Fam,Gd,Gd,0,1,TA,0.0,249.0,764.0,LwQ,ALQ,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,NA,NA,0,PConc,2,Min2,538.0,2,TA,Fin,TA,Attchd,2126.0,7.661997558901893,1,GasA,TA,2Story,1,TA,Low,Sev,28698.0,17.911627667579573,CulDSac,IR2,0.0,060,RL,0.0,None,NA,0.0,6,ClearCr,0.0,5,5,Y,0.0,NA,Tar&Grv,Flat,Abnorml,WD,225.0,Pave,7,3.0,1013.0,711.0,3139.0,20.022359966761247,AllPub,486.0,1967,1967,2009,185000.0,12.128111104060462
836,907126010,1040.0,6.946975992135418,0.0,0.0,NA,3,1Fam,TA,No,1,0,Gd,308.0,732.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,Gd,TA,VinylSd,VinylSd,GdPrv,NA,0,PConc,1,Typ,576.0,2,TA,Unf,TA,Detchd,1040.0,6.946975992135418,0,GasA,Gd,1Story,1,Gd,Low,Mod,12464.0,15.678268994795461,Corner,IR2,0.0,020,RL,0.0,None,NA,0.0,11,CollgCr,0.0,5,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,2.0,1040.0,168.0,2080.0,18.045316198021403,AllPub,168.0,1996,1996,2009,152000.0,11.931635799828413
837,907126050,990.0,6.897704943128636,0.0,0.0,NA,3,1Fam,TA,No,1,0,TA,235.0,755.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,Gd,TA,VinylSd,VinylSd,NA,NA,0,PConc,1,Typ,440.0,1,TA,RFn,TA,Attchd,990.0,6.897704943128636,0,GasA,Ex,1Story,1,TA,Low,Mod,9757.0,15.057147558416343,Inside,Reg,0.0,020,RL,0.0,None,NA,0.0,10,CollgCr,0.0,7,5,Y,0.0,NA,CompShg,Gable,Normal,WD,92.0,Pave,5,2.0,990.0,158.0,1980.0,17.819338063879105,AllPub,66.0,1994,1994,2009,143000.0,11.870599909242044
838,907130100,928.0,6.833031732786201,836.0,0.0,NA,3,1Fam,TA,No,1,0,Gd,107.0,821.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,MnPrv,NA,0,PConc,2,Typ,470.0,2,TA,RFn,TA,Attchd,1764.0,7.475339236566737,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,15426.0,16.231633308086852,Inside,IR1,0.0,060,RL,0.0,None,NA,0.0,8,CollgCr,99.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,3.5,928.0,375.0,2692.0,19.265263706897624,AllPub,276.0,1997,1997,2009,231500.0,12.352335152508426
839,907131090,827.0,6.717804695023691,834.0,0.0,NA,3,1Fam,TA,Av,1,0,Gd,70.0,385.0,344.0,GLQ,ALQ,Y,PosN,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,Typ,550.0,2,TA,RFn,TA,Attchd,1661.0,7.415175109613295,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,10667.0,15.281581009518307,CulDSac,IR2,0.0,060,RL,0.0,None,NA,0.0,4,CollgCr,61.0,6,7,Y,0.0,NA,CompShg,Gable,Normal,ConLw,0.0,Pave,6,3.5,799.0,219.0,2460.0,18.83180988832809,AllPub,158.0,1996,1996,2009,212000.0,12.26434155365415
840,907131190,1463.0,7.288244401020124,0.0,0.0,NA,3,1Fam,TA,Mn,1,0,Gd,513.0,950.0,0.0,GLQ,Unf,Y,PosN,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,GdPrv,NA,0,PConc,2,Typ,539.0,2,TA,Fin,TA,Attchd,1463.0,7.288244401020124,0,GasA,Ex,1Story,1,TA,Low,Gtl,14753.0,16.114879980894557,Inside,IR2,0.0,020,RL,0.0,None,NA,0.0,12,CollgCr,81.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,3.0,1463.0,81.0,2926.0,19.6731653198604,AllPub,0.0,1998,1998,2009,207000.0,12.240474072247506
