Order,PID,1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,Sale Condition,Sale Type,Screen Porch,Street,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,SalePrice
719,902329080,664.0,624.0,0,Grvl,3,1Fam,TA,No,1,0,TA,624.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Stucco,Stucco,NA,Gd,1,BrkTil,1,Typ,280.0,1,TA,Unf,TA,Attchd,1288.0,0,GasA,Ex,2Story,1,Ex,Lvl,Gtl,3600.0,Inside,Reg,0.0,070,RM,0.0,None,NA,0.0,5,OldTown,103.0,7,6,N,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,624.0,AllPub,0.0,1917,2007,2009,119000
720,902330040,916.0,826.0,0,Grvl,4,1Fam,TA,No,0,0,TA,700.0,216.0,0.0,BLQ,Unf,Y,Artery,Norm,SBrkr,0.0,Gd,Gd,Wd Sdng,Wd Sdng,NA,Gd,1,BrkTil,1,Typ,424.0,2,TA,Unf,TA,Attchd,1742.0,1,GasA,Gd,2Story,1,Gd,Lvl,Gtl,17671.0,Corner,Reg,0.0,070,RM,0.0,None,NA,0.0,11,OldTown,169.0,9,8,P,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,916.0,AllPub,0.0,1882,1986,2009,168000
721,902331010,816.0,0.0,0,NA,2,1Fam,TA,No,0,0,TA,624.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Stucco,Stucco,NA,Gd,1,BrkTil,1,Typ,0.0,0,NA,NA,NA,NA,816.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,3300.0,Inside,Reg,0.0,030,C,0.0,None,NA,0.0,6,OldTown,33.0,3,4,N,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,624.0,AllPub,0.0,1910,1950,2009,58500
722,902401130,832.0,650.0,0,NA,3,1Fam,TA,No,0,1,TA,26.0,624.0,0.0,ALQ,Unf,Y,Artery,Norm,SBrkr,0.0,Gd,TA,VinylSd,VinylSd,NA,NA,0,PConc,1,Typ,324.0,2,TA,Unf,TA,Detchd,1482.0,0,GasA,Ex,2Story,1,TA,Lvl,Gtl,9000.0,Inside,Reg,0.0,070,RM,0.0,None,NA,0.0,7,OldTown,0.0,9,7,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,7,650.0,AllPub,0.0,1920,1988,2009,143000
723,902402150,1022.0,0.0,0,NA,2,1Fam,TA,No,1,0,TA,310.0,247.0,465.0,ALQ,Rec,N,Norm,Norm,SBrkr,226.0,TA,TA,MetalSd,Stucco,NA,NA,0,BrkTil,1,Maj2,280.0,1,TA,Unf,TA,Detchd,1022.0,0,GasW,TA,1Story,1,TA,Lvl,Gtl,7200.0,Inside,Reg,0.0,030,RM,0.0,None,NA,0.0,6,OldTown,30.0,4,5,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,4,1022.0,AllPub,0.0,1910,2006,2009,85000
724,902405100,1188.0,561.0,0,NA,2,1Fam,TA,No,0,0,TA,0.0,1088.0,0.0,LwQ,Unf,Y,Norm,Norm,SBrkr,244.0,TA,TA,VinylSd,VinylSd,MnWw,NA,0,BrkTil,1,Typ,456.0,2,TA,Unf,TA,Detchd,1869.0,0,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,8820.0,Corner,Reg,120.0,050,RM,0.0,None,NA,0.0,9,OldTown,0.0,6,5,Y,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,7,1088.0,AllPub,48.0,1890,1996,2009,124900
725,902405120,1044.0,0.0,0,NA,3,1Fam,TA,No,0,0,TA,972.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,176.0,TA,Fa,MetalSd,MetalSd,NA,NA,0,BrkTil,1,Typ,207.0,1,TA,Unf,Fa,Detchd,1480.0,0,GasA,Ex,1.5Fin,1,TA,Lvl,Gtl,5400.0,Inside,Reg,436.0,050,RM,0.0,None,NA,0.0,9,OldTown,0.0,6,6,Y,0.0,NA,CompShg,Gable,Family,ConLI,0.0,Pave,6,972.0,AllPub,0.0,1920,1950,2009,119000
726,902406070,780.0,741.0,0,Grvl,4,1Fam,TA,No,0,0,TA,741.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,238.0,TA,TA,MetalSd,MetalSd,MnPrv,NA,0,PConc,1,Typ,640.0,3,TA,Unf,TA,Detchd,1521.0,0,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9720.0,Inside,Reg,0.0,070,RM,0.0,None,NA,0.0,9,OldTown,0.0,7,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,741.0,AllPub,0.0,1910,2002,2009,146500
727,902477120,720.0,0.0,0,NA,2,1Fam,TA,No,0,0,TA,225.0,495.0,0.0,Rec,Unf,N,Norm,Norm,FuseA,115.0,TA,TA,Wd Sdng,Wd Sdng,GdWo,NA,0,CBlock,1,Typ,0.0,0,NA,NA,NA,NA,720.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,7879.0,Inside,Reg,0.0,030,C,0.0,None,NA,0.0,11,IDOTRR,523.0,5,4,N,0.0,NA,CompShg,Gable,Abnorml,WD,0.0,Pave,4,720.0,AllPub,0.0,1920,1950,2009,34900
728,902477130,797.0,0.0,0,NA,2,1Fam,TA,No,0,0,Fa,245.0,0.0,0.0,Unf,Unf,N,Norm,Norm,SBrkr,94.0,Fa,TA,AsbShng,AsbShng,NA,NA,0,CBlock,1,Typ,0.0,0,NA,NA,NA,NA,797.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,9392.0,Corner,Reg,0.0,030,C,0.0,None,NA,0.0,9,IDOTRR,36.0,3,3,N,0.0,NA,CompShg,Mansard,Abnorml,WD,0.0,Pave,5,245.0,AllPub,0.0,1900,1950,2009,44000
729,903200080,1072.0,504.0,0,NA,3,1Fam,TA,Gd,2,0,TA,15.0,1309.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,NA,TA,1,CBlock,1,Typ,528.0,2,TA,RFn,TA,Attchd,1576.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,21384.0,Inside,Reg,0.0,070,RL,0.0,None,NA,0.0,5,BrkSide,312.0,6,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,1324.0,AllPub,0.0,1923,2004,2009,223500
730,903201020,1432.0,0.0,0,NA,3,1Fam,TA,No,0,0,TA,1022.0,0.0,0.0,Unf,Unf,N,Norm,Norm,FuseA,0.0,TA,TA,MetalSd,MetalSd,GdWo,Gd,1,BrkTil,1,Typ,216.0,1,TA,Unf,Fa,BuiltIn,1432.0,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,6615.0,Inside,Reg,0.0,030,RL,0.0,None,NA,0.0,9,BrkSide,61.0,6,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,1022.0,AllPub,266.0,1923,1950,2009,149000
731,903201080,952.0,596.0,0,NA,3,1Fam,TA,No,0,0,TA,952.0,0.0,0.0,Unf,Unf,N,Norm,Norm,SBrkr,0.0,Gd,Gd,Wd Sdng,Wd Sdng,NA,NA,0,BrkTil,2,Typ,672.0,2,TA,Unf,TA,Detchd,1548.0,1,GasW,Gd,1.5Fin,1,Ex,Lvl,Gtl,7264.0,Inside,Reg,0.0,050,RL,0.0,None,NA,0.0,10,BrkSide,0.0,7,7,Y,0.0,NA,CompShg,Gable,Normal,WD,144.0,Pave,5,952.0,AllPub,74.0,1925,2007,2009,205000
732,903202170,1001.0,653.0,0,NA,3,1Fam,TA,No,0,0,TA,297.0,0.0,0.0,Unf,Unf,Y,RRAn,Norm,SBrkr,0.0,TA,TA,WdShing,WdShing,NA,Gd,1,CBlock,2,Typ,336.0,1,TA,Unf,TA,Detchd,1654.0,0,GasA,Ex,1.5Fin,1,TA,Lvl,Gtl,4960.0,Inside,Reg,0.0,070,RL,0.0,None,NA,0.0,5,BrkSide,60.0,7,5,N,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,297.0,AllPub,244.0,1930,1982,2009,137000
733,903205040,952.0,0.0,0,NA,2,1Fam,TA,No,0,0,TA,952.0,0.0,0.0,Unf,Unf,N,Norm,Norm,FuseF,0.0,TA,TA,Wd Sdng,Wd Sdng,NA,Gd,1,BrkTil,1,Typ,192.0,1,Po,Unf,Fa,Detchd,952.0,0,Grav,Fa,1.5Unf,1,Fa,Lvl,Gtl,8854.0,Inside,Reg,0.0,030,RL,0.0,None,NA,0.0,5,BrkSide,98.0,6,6,P,0.0,NA,CompShg,Gable,Normal,WD,40.0,Pave,4,952.0,AllPub,0.0,1916,1950,2009,121000
734,903226130,757.0,567.0,0,NA,3,1Fam,TA,No,0,0,TA,0.0,672.0,0.0,BLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,MetalSd,MetalSd,NA,NA,0,BrkTil,1,Typ,240.0,1,TA,Unf,TA,Detchd,1324.0,0,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,6000.0,Inside,Reg,0.0,050,RM,0.0,None,NA,0.0,7,BrkSide,0.0,6,4,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,672.0,AllPub,0.0,1936,1950,2009,128000
735,903226170,786.0,390.0,0,NA,2,1Fam,TA,No,0,0,TA,698.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,MetalSd,MetalSd,NA,NA,0,BrkTil,1,Typ,624.0,2,TA,Unf,TA,Detchd,1176.0,0,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,6000.0,Inside,Reg,0.0,050,RM,0.0,None,NA,0.0,7,BrkSide,0.0,9,6,N,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,4,698.0,AllPub,210.0,1937,2000,2009,134900
736,903227070,884.0,464.0,0,NA,3,1Fam,TA,No,1,0,TA,884.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,208.0,TA,TA,Wd Sdng,Wd Sdng,NA,Fa,1,BrkTil,1,Typ,216.0,1,TA,Unf,TA,Detchd,1348.0,0,GasA,Ex,1.5Fin,1,TA,Lvl,Gtl,6000.0,Corner,Reg,0.0,050,RM,0.0,None,NA,0.0,5,BrkSide,0.0,8,5,N,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,884.0,AllPub,0.0,1925,1997,2009,117000
737,903227090,825.0,587.0,0,NA,4,1Fam,TA,No,0,0,TA,780.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,FuseF,0.0,Fa,TA,MetalSd,MetalSd,NA,Gd,1,CBlock,1,Typ,280.0,1,TA,Unf,TA,Detchd,1412.0,0,GasA,Ex,1.5Fin,1,TA,Lvl,Gtl,6000.0,Inside,Reg,0.0,050,RM,0.0,None,NA,0.0,5,BrkSide,0.0,6,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,780.0,AllPub,45.0,1939,1950,2009,132500
738,903228070,822.0,320.0,0,NA,3,1Fam,TA,No,0,0,TA,248.0,220.0,0.0,Rec,Unf,Y,Norm,Norm,SBrkr,98.0,TA,TA,Stucco,Stucco,NA,NA,0,BrkTil,1,Typ,320.0,1,TA,Fin,TA,Attchd,1142.0,0,GasA,Gd,1.5Fin,1,TA,Lvl,Gtl,6000.0,Corner,Reg,0.0,050,RM,444.0,BrkFace,NA,0.0,6,BrkSide,0.0,5,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,468.0,AllPub,0.0,1924,1950,2009,93000
739,903228120,904.0,0.0,0,NA,2,1Fam,TA,No,0,0,TA,884.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,105.0,TA,Gd,Wd Sdng,Wd Sdng,NA,NA,0,PConc,1,Typ,180.0,1,TA,Unf,TA,Detchd,904.0,0,GasA,Gd,1.5Unf,1,TA,Lvl,Gtl,6000.0,Inside,Reg,0.0,045,RM,0.0,None,NA,0.0,1,BrkSide,0.0,7,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,4,884.0,AllPub,0.0,1926,2004,2009,119000
740,903230100,1301.0,0.0,0,NA,2,1Fam,TA,Mn,0,0,TA,740.0,405.0,0.0,LwQ,Unf,Y,Feedr,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,NA,NA,0,PConc,1,Min1,440.0,2,TA,Unf,TA,Detchd,1301.0,0,GasA,TA,1Story,1,Fa,Lvl,Gtl,6911.0,FR2,Reg,0.0,030,RM,0.0,None,NA,0.0,10,BrkSide,0.0,5,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,1145.0,AllPub,0.0,1924,1950,2009,100000
741,903231010,1067.0,472.0,0,NA,3,1Fam,TA,No,0,0,TA,927.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,Fa,TA,Wd Sdng,Wd Sdng,MnPrv,NA,0,BrkTil,1,Typ,576.0,2,TA,Unf,TA,Detchd,1539.0,1,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,6120.0,Corner,Reg,0.0,050,RM,0.0,None,NA,0.0,4,BrkSide,0.0,6,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,927.0,AllPub,112.0,1936,1950,2009,141500
742,903231030,989.0,584.0,0,NA,3,1Fam,TA,No,0,0,TA,884.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,54.0,TA,TA,AsbShng,AsbShng,NA,NA,0,BrkTil,1,Typ,240.0,1,TA,Unf,TA,Detchd,1573.0,0,GasA,Ex,1.5Fin,1,Gd,Lvl,Gtl,6120.0,Inside,Reg,0.0,050,RM,0.0,None,NA,0.0,7,BrkSide,0.0,7,4,Y,0.0,NA,CompShg,Gable,Normal,WD,120.0,Pave,6,884.0,AllPub,0.0,1935,1995,2009,133000
743,903231060,800.0,0.0,0,NA,1,1Fam,Fa,No,0,0,TA,264.0,0.0,0.0,Unf,Unf,N,Norm,Norm,FuseA,0.0,Fa,Fa,AsbShng,AsbShng,NA,Po,1,BrkTil,1,Maj1,0.0,0,NA,NA,NA,NA,800.0,0,Grav,Fa,1Story,1,Fa,Lvl,Gtl,6120.0,Inside,Reg,0.0,030,RM,0.0,None,NA,0.0,1,BrkSide,0.0,3,2,N,0.0,NA,CompShg,Gable,Normal,ConLw,0.0,Pave,4,264.0,AllPub,0.0,1936,1950,2009,60000
744,903231130,875.0,0.0,0,NA,2,1Fam,TA,No,1,0,TA,506.0,209.0,0.0,BLQ,Unf,Y,Norm,Norm,FuseA,0.0,TA,TA,Wd Sdng,Wd Sdng,NA,NA,0,BrkTil,1,Typ,180.0,1,TA,Unf,Fa,Detchd,875.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,6120.0,Corner,Reg,0.0,030,RM,0.0,None,NA,0.0,11,BrkSide,0.0,7,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,715.0,AllPub,48.0,1931,1993,2009,105000
745,903232060,995.0,0.0,0,NA,2,1Fam,TA,No,0,0,TA,960.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,51.0,TA,TA,MetalSd,MetalSd,MnPrv,NA,0,BrkTil,1,Typ,264.0,1,TA,Unf,TA,Detchd,995.0,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,6120.0,Inside,Reg,0.0,030,RM,0.0,None,NA,0.0,3,BrkSide,15.0,6,5,Y,0.0,NA,CompShg,Gable,Abnorml,WD,0.0,Pave,5,960.0,AllPub,0.0,1925,1999,2009,115000
746,903234220,994.0,588.0,150,NA,3,1Fam,Fa,No,0,0,TA,679.0,273.0,0.0,LwQ,Unf,Y,Norm,Norm,FuseA,34.0,TA,TA,Wd Sdng,Wd Sdng,NA,Gd,1,BrkTil,2,Typ,250.0,1,TA,Unf,Fa,Detchd,1582.0,0,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,6120.0,Inside,Reg,0.0,050,RM,0.0,None,NA,0.0,2,BrkSide,0.0,6,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,952.0,AllPub,189.0,1938,1950,2009,150000
747,903236040,1072.0,0.0,0,NA,2,1Fam,TA,No,1,0,TA,938.0,134.0,0.0,LwQ,Unf,Y,Norm,Norm,SBrkr,105.0,Fa,TA,Wd Sdng,Wd Sdng,NA,NA,0,BrkTil,1,Typ,1184.0,5,TA,Unf,Fa,Detchd,1072.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,8635.0,Inside,Reg,0.0,030,RM,0.0,None,NA,0.0,8,BrkSide,0.0,5,5,P,0.0,NA,CompShg,Hip,Normal,WD,0.0,Pave,5,1072.0,AllPub,0.0,1925,1950,2009,126500
748,903400220,1445.0,689.0,0,Pave,5,1Fam,TA,No,0,0,TA,844.0,0.0,0.0,Unf,Unf,N,PosN,Norm,FuseA,268.0,TA,TA,Wd Sdng,WdShing,NA,NA,0,BrkTil,2,Typ,441.0,2,TA,Unf,TA,Detchd,2134.0,0,GasA,Gd,2.5Unf,1,Gd,Bnk,Gtl,11888.0,Inside,IR1,0.0,075,RL,0.0,None,NA,0.0,7,BrkSide,60.0,6,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,10,844.0,AllPub,0.0,1916,1994,2009,214500
749,903425245,1136.0,883.0,0,NA,3,1Fam,TA,No,0,0,Gd,728.0,0.0,0.0,Unf,Unf,N,RRAn,Feedr,SBrkr,0.0,Gd,TA,HdBoard,HdBoard,GdPrv,NA,0,BrkTil,1,Typ,532.0,2,TA,Unf,TA,Detchd,2019.0,0,GasA,TA,2Story,1,Gd,Lvl,Gtl,11414.0,Corner,IR1,0.0,070,RL,0.0,None,NA,0.0,10,BrkSide,135.0,8,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,728.0,AllPub,509.0,1910,1993,2009,167500
750,903427120,1048.0,720.0,0,Grvl,3,1Fam,TA,No,0,0,TA,1048.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,FuseA,150.0,TA,TA,MetalSd,MetalSd,NA,NA,0,PConc,2,Typ,576.0,2,Fa,Unf,Fa,Detchd,1768.0,0,GasA,Gd,2Story,1,TA,Lvl,Gtl,8094.0,Inside,Reg,0.0,070,RM,0.0,None,NA,0.0,6,OldTown,0.0,6,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,1048.0,AllPub,0.0,1915,1950,2009,155000
751,903429080,916.0,910.0,0,Pave,4,1Fam,TA,No,1,0,TA,611.0,299.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,Stucco,Stucco,NA,Gd,1,PConc,1,Min2,164.0,1,Fa,Unf,Fa,Attchd,1826.0,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,2500.0,Corner,Reg,0.0,070,RM,0.0,None,NA,0.0,6,OldTown,0.0,8,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,910.0,AllPub,0.0,1915,2005,2009,155000
752,903429110,1272.0,672.0,0,Grvl,3,1Fam,TA,No,0,0,TA,672.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,Gd,TA,Wd Sdng,Wd Sdng,NA,NA,0,BrkTil,2,Min2,216.0,1,TA,Unf,TA,Detchd,1944.0,0,GasA,Fa,2Story,1,TA,Lvl,Gtl,9928.0,Inside,Reg,0.0,070,RM,0.0,None,Shed,400.0,6,OldTown,28.0,8,7,N,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,672.0,AllPub,24.0,1915,1994,2009,179900
753,903430060,929.0,929.0,0,NA,5,1Fam,TA,No,0,0,TA,755.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,30.0,TA,TA,Wd Sdng,Wd Sdng,MnPrv,NA,0,CBlock,1,Typ,0.0,0,NA,NA,NA,NA,2229.0,0,GasA,Ex,2.5Fin,1,TA,Lvl,Gtl,5520.0,Corner,Reg,371.0,075,RM,0.0,None,NA,0.0,7,OldTown,198.0,6,6,Y,0.0,NA,CompShg,Gable,Abnorml,WD,0.0,Pave,8,755.0,AllPub,0.0,1912,1950,2009,104000
754,903430070,1088.0,1040.0,0,Grvl,4,Duplx,Fa,No,0,0,TA,1040.0,0.0,0.0,Unf,Unf,N,Norm,Norm,SBrkr,0.0,TA,TA,MetalSd,MetalSd,NA,NA,0,BrkTil,2,Sev,0.0,0,NA,NA,NA,NA,2128.0,0,GasA,TA,2Story,2,TA,Bnk,Gtl,3000.0,Inside,Reg,0.0,090,RM,0.0,None,NA,0.0,9,OldTown,56.0,1,5,Y,0.0,NA,CompShg,Hip,Abnorml,WD,0.0,Pave,11,1040.0,AllPub,0.0,1922,1950,2009,62500
755,903451090,1146.0,784.0,0,NA,4,1Fam,Fa,No,1,0,TA,198.0,522.0,0.0,BLQ,Unf,Y,Norm,Norm,SBrkr,213.0,TA,TA,Plywood,Plywood,MnPrv,NA,0,CBlock,2,Typ,316.0,1,TA,Unf,TA,Attchd,1930.0,0,GasA,Fa,2Story,1,TA,Lvl,Gtl,6876.0,Inside,Reg,0.0,070,RM,0.0,None,NA,0.0,8,IDOTRR,0.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,720.0,AllPub,0.0,1927,1950,2009,149000
756,903458170,848.0,0.0,0,Grvl,2,1Fam,TA,No,0,0,TA,628.0,152.0,0.0,BLQ,Unf,Y,Norm,Norm,FuseA,112.0,TA,TA,MetalSd,MetalSd,NA,NA,0,CBlock,1,Typ,539.0,2,TA,Unf,TA,Detchd,1208.0,0,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,6240.0,Inside,Reg,360.0,030,RM,0.0,None,NA,0.0,1,IDOTRR,23.0,5,4,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,780.0,AllPub,0.0,1925,1950,2009,103000
757,903475100,741.0,686.0,0,NA,3,1Fam,TA,No,0,0,TA,483.0,0.0,0.0,Unf,Unf,Y,Feedr,Norm,SBrkr,112.0,TA,TA,Wd Sdng,Wd Sdng,NA,NA,0,BrkTil,1,Typ,379.0,1,TA,Unf,TA,Attchd,1427.0,0,GasA,Ex,2Story,1,Gd,Bnk,Mod,5775.0,Corner,IR2,0.0,070,RM,0.0,None,NA,0.0,2,OldTown,24.0,7,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,483.0,AllPub,0.0,1915,2002,2009,123000
758,903476090,978.0,886.0,0,NA,6,2FmCon,Fa,No,0,0,TA,851.0,169.0,0.0,Rec,Unf,N,Feedr,Norm,FuseF,102.0,Fa,TA,MetalSd,MetalSd,NA,NA,0,BrkTil,2,Typ,0.0,0,NA,NA,NA,NA,1864.0,1,GasA,TA,2.5Unf,1,TA,Bnk,Gtl,5852.0,Corner,IR3,0.0,190,RM,188.0,Stone,NA,0.0,5,OldTown,188.0,5,7,N,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,9,1020.0,AllPub,0.0,1902,2000,2009,97500
759,903481120,1204.0,462.0,0,NA,3,1Fam,TA,No,0,0,TA,1204.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,FuseA,148.0,Fa,TA,MetalSd,MetalSd,NA,NA,0,BrkTil,1,Typ,384.0,1,TA,Unf,Fa,Detchd,1666.0,0,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,5160.0,Corner,Reg,0.0,050,RM,0.0,None,NA,0.0,8,IDOTRR,0.0,6,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,4,1204.0,AllPub,0.0,1927,1950,2009,135000
760,903481130,892.0,0.0,0,Grvl,1,1Fam,Fa,Av,1,0,Gd,46.0,749.0,63.0,BLQ,Rec,Y,Norm,Norm,SBrkr,105.0,Gd,TA,MetalSd,MetalSd,NA,NA,0,PConc,1,Min2,0.0,0,NA,NA,NA,NA,892.0,0,GasA,TA,SFoyer,1,Gd,Lvl,Gtl,5160.0,Inside,Reg,0.0,085,RM,0.0,None,NA,0.0,7,IDOTRR,0.0,6,4,N,0.0,NA,CompShg,Hip,Abnorml,COD,160.0,Pave,5,858.0,AllPub,0.0,1923,1950,2009,70000
761,903484110,754.0,649.0,0,Grvl,3,2FmCon,TA,No,1,0,TA,160.0,276.0,262.0,Rec,ALQ,Y,Artery,Norm,FuseF,288.0,Gd,TA,MetalSd,MetalSd,NA,NA,0,CBlock,1,Typ,308.0,1,TA,Unf,TA,Detchd,1403.0,1,GasA,Ex,2Story,1,TA,Bnk,Gtl,10320.0,Inside,Reg,0.0,190,RM,0.0,None,NA,0.0,2,IDOTRR,0.0,7,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,698.0,AllPub,0.0,1915,1965,2009,116000
762,904100190,704.0,0.0,0,NA,2,1Fam,TA,No,0,1,Fa,560.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,FuseA,24.0,Gd,TA,MetalSd,MetalSd,NA,NA,0,CBlock,1,Typ,220.0,1,TA,Unf,TA,CarPort,704.0,0,GasA,Ex,1Story,1,Fa,Lvl,Gtl,4280.0,Inside,IR1,0.0,020,RL,0.0,None,NA,0.0,9,Sawyer,0.0,9,4,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,4,560.0,AllPub,0.0,1946,2001,2009,88750
763,904301060,1200.0,0.0,0,NA,3,Duplx,Gd,Gd,3,0,Gd,0.0,1200.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,NA,NA,0,CBlock,3,Typ,0.0,0,NA,NA,NA,NA,1200.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,10800.0,Inside,Reg,0.0,090,RL,0.0,None,NA,0.0,3,Edwards,0.0,5,5,Y,0.0,NA,CompShg,Gable,Alloca,WD,0.0,Pave,5,1200.0,AllPub,120.0,1987,1988,2009,179000
764,904301070,1200.0,0.0,0,NA,3,Duplx,Gd,Gd,3,0,Gd,0.0,1200.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,Gd,TA,Plywood,Plywood,NA,NA,0,CBlock,3,Typ,0.0,0,NA,NA,NA,NA,1200.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,10800.0,Inside,Reg,0.0,090,RL,0.0,None,NA,0.0,3,Edwards,0.0,5,5,Y,0.0,NA,CompShg,Gable,Alloca,WD,0.0,Pave,5,1200.0,AllPub,120.0,1987,1988,2009,179000
