Order,PID,1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Mo Sold (box-cox-1.0),Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,Sale Condition,Sale Type,Screen Porch,Street,TotRms AbvGrd,TotRms AbvGrd (box-cox-0.0),Total Bath,Total Bath (box-cox-0.5),Total Bsmt SF,Total Porch SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,SalePrice,SalePrice (box-cox-0.0)
480,528240150,846.0,748.0,0.0,NA,3,1Fam,3,2,0,0,4,846.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,3,4,1,PConc,2,7,434.0,2,3,3,3,Attchd,1594.0,1,GasA,4,2Story,1,3,Lvl,2,10125.0,Inside,2,0.0,060,RL,0.0,None,NA,0.0,7,6.0,Gilbert,48.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,846.0,348.0,3,300.0,2004,2004,2009,195500.0,12.183315658407558
481,528250020,806.0,683.0,0.0,NA,3,1Fam,3,1,1,0,4,130.0,652.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,400.0,2,3,3,3,Attchd,1489.0,1,GasA,4,2Story,1,3,Lvl,2,8965.0,Inside,2,0.0,060,RL,0.0,None,NA,0.0,6,5.0,Gilbert,75.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,8,2.0794415416798357,3.5,1.7416573867739413,782.0,75.0,3,0.0,2003,2003,2009,192000.0,12.165250651009918
482,528250040,698.0,644.0,0.0,NA,3,1Fam,3,1,1,0,4,204.0,494.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,3,1,PConc,2,7,393.0,2,3,3,3,Attchd,1342.0,1,GasA,4,2Story,1,3,Lvl,2,8174.0,Inside,2,0.0,060,RL,0.0,None,NA,0.0,5,4.0,Gilbert,56.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,3.5,1.7416573867739413,698.0,156.0,3,100.0,2003,2003,2009,178000.0,12.089538829274222
483,528253010,1314.0,0.0,0.0,NA,2,TwnhsI,3,1,1,0,4,410.0,904.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,626.0,2,3,2,3,Attchd,1314.0,0,GasA,4,1Story,1,3,Lvl,2,5063.0,Inside,3,0.0,120,RL,166.0,Stone,NA,0.0,4,3.0,NridgHt,62.0,4,6,2,0.0,0,CompShg,Gable,Normal,ConLw,0.0,Pave,6,1.791759469228055,3.0,1.4641016151377544,1314.0,234.0,3,172.0,2007,2008,2009,207500.0,12.24288661865289
484,528275070,980.0,1276.0,0.0,NA,4,1Fam,3,1,0,0,4,652.0,300.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,3,1,PConc,2,7,554.0,2,3,3,3,BuiltIn,2256.0,1,GasA,4,2Story,1,3,Lvl,2,8795.0,Inside,2,0.0,060,RL,0.0,None,NA,0.0,4,3.0,Gilbert,54.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,8,2.0794415416798357,2.5,1.1622776601683795,952.0,278.0,3,224.0,2000,2000,2009,236000.0,12.371587084007746
486,528280230,1022.0,1032.0,0.0,NA,3,1Fam,3,1,1,0,4,297.0,695.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,3,1,PConc,2,7,390.0,2,3,2,3,BuiltIn,2054.0,1,GasA,4,2Story,1,3,Lvl,2,12224.0,Corner,2,0.0,060,RL,40.0,BrkFace,NA,0.0,7,6.0,Gilbert,48.0,4,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,3.5,1.7416573867739413,992.0,72.0,3,24.0,2000,2000,2009,244000.0,12.404923504275338
487,528290030,744.0,630.0,0.0,NA,3,1Fam,3,2,0,0,4,30.0,241.0,113.0,6,3,Y,RRAn,Norm,4,0.0,2,3,VinylSd,VinylSd,0,0,0,PConc,2,7,400.0,2,3,3,3,BuiltIn,1374.0,1,GasA,4,SLvl,1,3,Lvl,2,9734.0,Inside,2,0.0,080,RL,0.0,None,NA,0.0,5,4.0,Gilbert,0.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,384.0,0.0,3,0.0,2004,2004,2009,167000.0,12.025749091398891
488,528290120,1007.0,793.0,0.0,NA,3,1Fam,3,1,0,0,4,982.0,0.0,0.0,1,1,Y,RRAn,Norm,4,0.0,2,2,VinylSd,VinylSd,0,3,1,PConc,2,7,463.0,2,3,3,3,Attchd,1800.0,1,GasA,4,2Story,1,2,Lvl,2,8123.0,Inside,2,0.0,060,RL,16.0,BrkFace,NA,0.0,6,5.0,Gilbert,63.0,4,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,982.0,163.0,3,100.0,2000,2000,2009,179000.0,12.095141084822892
489,528290180,819.0,695.0,0.0,NA,3,1Fam,3,1,1,0,4,111.0,683.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,2,VinylSd,VinylSd,0,3,1,PConc,2,7,394.0,2,3,3,3,Attchd,1514.0,1,GasA,4,2Story,1,2,Lvl,2,8433.0,Inside,2,0.0,060,RL,0.0,None,NA,0.0,6,5.0,Gilbert,72.0,4,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,3.5,1.7416573867739413,794.0,72.0,3,0.0,2000,2000,2009,190000.0,12.154779351142624
490,528290190,774.0,656.0,0.0,NA,3,1Fam,3,1,0,0,4,384.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,2,VinylSd,VinylSd,0,3,1,PConc,2,7,400.0,2,3,2,3,BuiltIn,1430.0,1,GasA,4,SLvl,1,2,Lvl,2,7750.0,Inside,3,0.0,080,RL,0.0,None,NA,0.0,3,2.0,Gilbert,0.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,384.0,0.0,3,0.0,1999,2000,2009,156000.0,11.957611286231675
491,528292030,1223.0,1089.0,0.0,NA,4,1Fam,3,1,1,0,4,264.0,913.0,0.0,5,1,Y,RRNn,Norm,4,0.0,2,3,VinylSd,VinylSd,0,3,1,PConc,2,7,658.0,3,3,3,3,BuiltIn,2312.0,1,GasA,4,2Story,1,3,Lvl,2,15896.0,CulDSac,1,0.0,060,RL,210.0,BrkFace,NA,0.0,5,4.0,Gilbert,0.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,8,2.0794415416798357,3.5,1.7416573867739413,1177.0,298.0,3,298.0,1999,1999,2009,245000.0,12.409013489526863
492,528292040,892.0,783.0,0.0,NA,3,1Fam,3,1,0,0,4,841.0,0.0,0.0,1,1,Y,RRAn,Norm,4,0.0,2,2,VinylSd,VinylSd,0,3,1,PConc,2,7,502.0,2,3,3,3,BuiltIn,1675.0,1,GasA,4,2Story,1,2,Lvl,2,24682.0,CulDSac,0,0.0,060,RL,0.0,None,NA,0.0,6,5.0,Gilbert,103.0,4,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,841.0,103.0,3,0.0,1999,1999,2009,181000.0,12.106252310247962
493,528292070,1022.0,1038.0,168.0,NA,3,1Fam,3,1,1,0,4,220.0,772.0,0.0,5,1,Y,RRNn,Norm,4,0.0,2,3,VinylSd,VinylSd,4,3,1,PConc,2,7,390.0,2,3,2,3,BuiltIn,2060.0,1,GasA,4,2Story,1,3,Lvl,2,8755.0,FR2,2,0.0,060,RL,298.0,BrkFace,NA,0.0,6,5.0,Gilbert,0.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,8,2.0794415416798357,3.5,1.7416573867739413,992.0,168.0,3,0.0,1999,1999,2009,214000.0,12.273731294003989
494,528294050,774.0,656.0,0.0,NA,3,1Fam,3,1,0,0,3,384.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,2,VinylSd,VinylSd,0,3,1,PConc,2,7,410.0,2,3,3,3,BuiltIn,1430.0,1,GasA,4,SLvl,1,2,Lvl,2,7848.0,Inside,2,0.0,080,RL,0.0,None,NA,0.0,6,5.0,Gilbert,0.0,5,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,384.0,0.0,3,0.0,1999,1999,2009,168000.0,12.031719258385396
495,528315090,1268.0,1097.0,0.0,NA,3,1Fam,3,2,1,0,4,89.0,1163.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,856.0,3,3,2,3,Attchd,2365.0,1,GasA,4,2Story,1,3,Lvl,2,9430.0,Inside,3,0.0,060,RL,673.0,BrkFace,NA,0.0,7,6.0,NoRidge,128.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,180.0,Pave,8,2.0794415416798357,3.5,1.7416573867739413,1252.0,308.0,3,0.0,1999,1999,2009,337000.0,12.727838209334498
496,528321010,1490.0,1304.0,0.0,NA,4,1Fam,3,1,1,0,4,773.0,689.0,0.0,6,1,Y,Norm,Norm,4,202.0,2,3,VinylSd,VinylSd,0,3,1,PConc,2,7,810.0,3,3,3,3,Attchd,2794.0,1,GasA,4,2Story,1,4,Lvl,2,15138.0,Inside,2,0.0,060,RL,506.0,BrkFace,NA,0.0,7,6.0,NoRidge,146.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,9,2.1972245773362196,3.5,1.7416573867739413,1462.0,348.0,3,0.0,1995,1996,2009,403000.0,12.90669184092882
497,528327070,1466.0,1221.0,0.0,NA,4,1Fam,3,2,1,0,4,282.0,1173.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,3,2,PConc,2,7,810.0,3,3,2,3,BuiltIn,2687.0,1,GasA,4,2Story,1,3,Lvl,2,12720.0,Inside,3,0.0,060,RL,150.0,BrkFace,NA,0.0,9,8.0,NoRidge,30.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,10,2.302585092994046,3.5,1.7416573867739413,1455.0,282.0,3,252.0,2000,2000,2009,327000.0,12.697715449879391
498,528344040,1310.0,1140.0,0.0,NA,3,1Fam,3,2,1,0,4,503.0,781.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,3,1,PConc,2,7,1069.0,3,3,3,3,Attchd,2450.0,1,GasA,4,2Story,1,3,Lvl,2,16545.0,Inside,2,0.0,060,RL,731.0,BrkFace,NA,0.0,5,4.0,NoRidge,126.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,3.5,1.7416573867739413,1284.0,126.0,3,0.0,1998,1998,2009,340000.0,12.736700896592344
499,528344100,1276.0,1336.0,0.0,NA,4,1Fam,3,1,1,0,4,371.0,854.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,3,1,PConc,2,7,676.0,3,3,3,3,Attchd,2612.0,1,GasA,4,2Story,1,3,Lvl,2,12203.0,Corner,2,0.0,060,RL,975.0,BrkFace,NA,0.0,7,6.0,NoRidge,0.0,4,7,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,8,2.0794415416798357,3.5,1.7416573867739413,1225.0,250.0,3,250.0,1998,1999,2009,336000.0,12.724866438945341
500,528354050,1277.0,1067.0,0.0,NA,3,1Fam,3,1,0,0,4,1264.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,3,1,PConc,2,7,889.0,3,3,2,3,Attchd,2344.0,1,GasA,4,2Story,1,3,Lvl,2,10208.0,Inside,2,0.0,060,RL,921.0,BrkFace,NA,0.0,7,6.0,NoRidge,0.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,1264.0,220.0,3,220.0,1996,1997,2009,265000.0,12.487485104968359
501,528363050,2063.0,0.0,0.0,NA,3,1Fam,3,3,1,0,4,262.0,236.0,1526.0,4,6,Y,Norm,Norm,4,0.0,2,3,Wd Sdng,Wd Sdng,0,4,2,PConc,2,7,815.0,3,3,3,3,Attchd,2063.0,0,GasA,4,1Story,1,3,Lvl,2,10750.0,CulDSac,2,0.0,020,RL,634.0,BrkFace,NA,0.0,6,5.0,NoRidge,56.0,4,7,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,7,1.9459101490553132,3.0,1.4641016151377544,2024.0,238.0,3,182.0,1994,1995,2009,315000.0,12.66032791780777
502,528365070,1372.0,1274.0,0.0,NA,4,1Fam,3,4,1,0,4,360.0,987.0,0.0,6,1,Y,Norm,Norm,4,144.0,2,3,HdBoard,HdBoard,0,3,1,PConc,2,7,656.0,3,3,2,3,Attchd,2646.0,1,GasA,4,2Story,1,3,Low,1,9900.0,Inside,3,0.0,060,RL,256.0,BrkFace,NA,0.0,4,3.0,NoRidge,60.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,9,2.1972245773362196,3.5,1.7416573867739413,1347.0,544.0,3,340.0,1993,1993,2009,260000.0,12.468436909997665
503,528385050,1094.0,967.0,0.0,NA,3,1Fam,3,1,1,0,4,254.0,816.0,0.0,6,1,Y,Norm,Norm,4,209.0,2,3,VinylSd,VinylSd,0,3,1,PConc,2,7,647.0,2,3,3,3,Attchd,2061.0,1,GasA,4,2Story,1,3,Lvl,2,9085.0,Inside,3,0.0,060,RL,286.0,BrkFace,NA,0.0,11,10.0,NoRidge,102.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,3.5,1.7416573867739413,1070.0,607.0,3,296.0,1995,1996,2009,260000.0,12.468436909997665
504,528387030,1215.0,1017.0,0.0,NA,3,1Fam,3,1,1,0,4,549.0,624.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,HdBoard,HdBoard,0,3,1,PConc,2,7,623.0,2,3,2,3,Attchd,2232.0,1,GasA,4,2Story,1,3,Lvl,2,11692.0,Inside,2,0.0,060,RL,372.0,BrkFace,NA,0.0,10,9.0,NoRidge,165.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,8,2.0794415416798357,3.5,1.7416573867739413,1173.0,338.0,3,173.0,1993,1994,2009,263550.0,12.481998382283352
505,528390100,1686.0,762.0,0.0,NA,4,1Fam,4,1,1,0,4,88.0,1361.0,180.0,6,3,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,3,1,PConc,2,7,711.0,3,3,2,3,Attchd,2448.0,1,GasA,4,2Story,1,3,Lvl,2,46589.0,CulDSac,1,0.0,060,RL,528.0,BrkFace,NA,0.0,7,6.0,NoRidge,76.0,6,7,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,8,2.0794415416798357,3.5,1.7416573867739413,1629.0,593.0,3,517.0,1994,2005,2009,402000.0,12.904207367601158
506,528390210,979.0,871.0,0.0,NA,3,1Fam,3,1,0,0,4,378.0,595.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,HdBoard,HdBoard,0,4,1,PConc,2,7,467.0,2,3,3,3,BuiltIn,1850.0,1,GasA,4,2Story,1,3,Lvl,2,29959.0,FR2,1,0.0,060,RL,0.0,None,NA,0.0,1,0.0,NoRidge,98.0,5,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,973.0,266.0,3,168.0,1994,1994,2009,248000.0,12.421184025147118
507,528427020,1468.0,0.0,0.0,NA,3,1Fam,3,1,0,0,4,1468.0,0.0,0.0,1,1,Y,Feedr,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,898.0,3,3,3,3,Attchd,1468.0,0,GasA,4,1Story,1,3,Lvl,2,9612.0,Inside,3,0.0,020,RL,72.0,Stone,NA,0.0,12,11.0,Somerst,150.0,4,7,2,0.0,0,CompShg,Gable,Partial,New,0.0,Pave,6,1.791759469228055,2.0,0.8284271247461903,1468.0,360.0,3,210.0,2008,2009,2009,244600.0,12.407379502235209
508,528431020,1696.0,0.0,0.0,NA,3,1Fam,3,2,0,0,4,1696.0,0.0,0.0,1,1,Y,PosN,Norm,4,0.0,2,3,VinylSd,VinylSd,0,0,0,PConc,2,7,972.0,3,3,2,3,Attchd,1696.0,0,GasA,4,1Story,1,3,Lvl,2,11194.0,Inside,2,0.0,020,RL,240.0,Stone,NA,0.0,9,8.0,Somerst,56.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.0,0.8284271247461903,1696.0,176.0,3,120.0,2008,2008,2009,275000.0,12.524526376648708
509,528431070,1658.0,0.0,0.0,NA,3,1Fam,3,1,0,0,4,1614.0,0.0,0.0,1,1,Y,PosN,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,726.0,3,3,3,3,Attchd,1658.0,1,GasA,4,1Story,1,3,Lvl,2,10206.0,Inside,3,0.0,020,RL,294.0,BrkFace,NA,0.0,9,8.0,Somerst,44.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,1614.0,188.0,3,144.0,2008,2008,2009,257500.0,12.458774999085929
510,528435030,1578.0,0.0,0.0,NA,3,1Fam,3,1,0,0,4,1573.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,3,CemntBd,CemntBd,0,4,1,PConc,2,7,840.0,3,3,3,3,Attchd,1578.0,0,GasA,4,1Story,1,4,Lvl,2,9262.0,Inside,3,0.0,020,RL,194.0,Stone,NA,0.0,5,4.0,Somerst,36.0,4,7,2,0.0,0,CompShg,Gable,Partial,New,0.0,Pave,7,1.9459101490553132,2.0,0.8284271247461903,1573.0,36.0,3,0.0,2008,2009,2009,287090.0,12.567551034433226
511,528435050,1702.0,0.0,0.0,NA,3,1Fam,3,3,1,0,4,408.0,1294.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,844.0,3,3,2,3,Attchd,1702.0,0,GasA,4,1Story,1,3,Lvl,2,10130.0,Inside,3,0.0,020,RL,260.0,Stone,NA,0.0,3,2.0,Somerst,69.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,3.0,1.4641016151377544,1702.0,69.0,3,0.0,2007,2007,2009,275500.0,12.526342907575106
512,528439060,1432.0,0.0,0.0,NA,3,1Fam,3,3,0,0,5,1043.0,379.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,492.0,2,3,3,3,Attchd,1432.0,0,GasA,4,1Story,1,3,Lvl,2,9139.0,Inside,2,0.0,020,RL,206.0,Stone,NA,0.0,9,8.0,Somerst,50.0,4,7,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,7,1.9459101490553132,2.0,0.8284271247461903,1422.0,347.0,3,297.0,2006,2006,2009,245000.0,12.409013489526863
513,528441020,1113.0,858.0,0.0,NA,3,1Fam,3,2,0,0,4,772.0,341.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,689.0,2,3,2,3,Attchd,1971.0,1,GasA,4,2Story,1,3,Lvl,2,9675.0,Inside,3,0.0,060,RL,0.0,None,NA,0.0,2,1.0,Somerst,48.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,8,2.0794415416798357,2.5,1.1622776601683795,1113.0,48.0,3,0.0,2005,2005,2009,253000.0,12.441144767709657
514,528441090,2490.0,0.0,0.0,NA,2,1Fam,3,4,1,0,5,300.0,2158.0,0.0,6,1,Y,PosN,PosN,4,0.0,2,4,VinylSd,VinylSd,4,4,2,PConc,2,7,795.0,3,3,3,3,Attchd,2490.0,0,GasA,4,1Story,1,4,Lvl,2,11128.0,Corner,3,0.0,020,RL,198.0,Stone,NA,0.0,10,9.0,Somerst,226.0,4,8,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,9,2.1972245773362196,3.0,1.4641016151377544,2458.0,296.0,3,70.0,2005,2006,2009,468000.0,13.056223574899784
515,528456180,932.0,920.0,0.0,NA,3,1Fam,3,1,1,0,4,78.0,822.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,2,VinylSd,VinylSd,0,3,1,PConc,2,7,644.0,2,3,2,3,Attchd,1852.0,1,GasA,4,2Story,1,3,Lvl,2,8640.0,Inside,3,0.0,060,FV,0.0,None,NA,0.0,7,6.0,Somerst,108.0,4,6,2,0.0,0,CompShg,Gable,Partial,New,0.0,Pave,7,1.9459101490553132,3.5,1.7416573867739413,900.0,276.0,3,168.0,2009,2009,2009,252678.0,12.439871229831715
516,528456220,786.0,804.0,0.0,NA,3,1Fam,3,1,0,0,4,768.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,0,0,PConc,2,7,676.0,2,3,2,3,Attchd,1590.0,1,GasA,4,2Story,1,3,Lvl,2,9000.0,Inside,3,0.0,060,FV,0.0,None,NA,0.0,6,5.0,Somerst,30.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,6,1.791759469228055,2.5,1.1622776601683795,768.0,30.0,3,0.0,2008,2008,2009,210000.0,12.254862809699606
517,528456240,1218.0,0.0,0.0,NA,2,1Fam,3,1,0,0,4,1191.0,27.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,0,0,PConc,2,7,676.0,2,3,3,3,Attchd,1218.0,0,GasA,4,1Story,1,3,Lvl,2,7862.0,Inside,2,0.0,020,FV,0.0,None,NA,0.0,9,8.0,Somerst,102.0,4,5,2,0.0,0,CompShg,Gable,Partial,New,0.0,Pave,4,1.3862943611198906,2.0,0.8284271247461903,1218.0,102.0,3,0.0,2009,2009,2009,208300.0,12.246734627249063
519,528458040,1314.0,0.0,0.0,NA,3,1Fam,3,2,1,0,4,364.0,936.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,CemntBd,CemntBd,0,0,0,PConc,2,7,552.0,2,3,2,3,Attchd,1314.0,0,GasA,4,1Story,1,3,Lvl,2,8640.0,Inside,3,0.0,020,FV,72.0,Stone,NA,0.0,9,8.0,Somerst,112.0,4,7,2,0.0,0,CompShg,Gable,Partial,New,0.0,Pave,6,1.791759469228055,3.0,1.4641016151377544,1300.0,247.0,3,135.0,2009,2009,2009,229456.0,12.343466568968994
520,528458060,1402.0,0.0,0.0,NA,3,1Fam,3,1,0,0,4,1402.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,0,0,PConc,2,7,625.0,2,3,2,3,Attchd,1402.0,0,GasA,4,1Story,1,3,Lvl,2,8640.0,Inside,3,0.0,020,FV,0.0,None,NA,0.0,5,4.0,Somerst,126.0,4,6,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,7,1.9459101490553132,2.0,0.8284271247461903,1402.0,331.0,3,205.0,2008,2008,2009,229800.0,12.344964644396793
521,528458140,1530.0,0.0,0.0,NA,3,1Fam,3,3,0,0,4,1530.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,984.0,3,3,2,3,Attchd,1530.0,0,GasA,4,1Story,1,3,Lvl,2,12606.0,Inside,2,0.0,020,FV,120.0,Stone,NA,0.0,5,4.0,Somerst,136.0,4,8,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.0,0.8284271247461903,1530.0,348.0,3,212.0,2007,2008,2009,250000.0,12.429216196844383
522,528458160,1766.0,0.0,0.0,NA,2,1Fam,3,2,1,0,5,645.0,1121.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,4,CemntBd,CemntBd,0,4,1,PConc,2,7,478.0,3,3,3,3,Attchd,1766.0,1,GasA,4,1Story,1,4,Lvl,2,9187.0,Inside,3,0.0,020,FV,162.0,Stone,NA,0.0,10,9.0,Somerst,130.0,4,8,2,0.0,0,CompShg,Gable,Partial,New,0.0,Pave,7,1.9459101490553132,3.5,1.7416573867739413,1766.0,325.0,3,195.0,2009,2009,2009,370878.0,12.823628446539173
523,528458180,1448.0,0.0,0.0,NA,2,1Fam,3,1,0,0,4,1348.0,24.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,692.0,2,3,2,3,Attchd,1448.0,0,GasA,4,1Story,1,3,Lvl,2,7500.0,Inside,3,0.0,020,FV,238.0,Stone,NA,0.0,6,5.0,Somerst,140.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,6,1.791759469228055,2.0,0.8284271247461903,1372.0,140.0,3,0.0,2006,2007,2009,238500.0,12.382124589310534
524,528477050,1026.0,981.0,0.0,NA,3,1Fam,3,3,1,0,5,252.0,765.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,4,VinylSd,VinylSd,0,5,1,PConc,2,7,812.0,3,3,3,3,Attchd,2007.0,1,GasA,4,2Story,1,4,Lvl,2,11003.0,Inside,3,0.0,060,FV,160.0,Stone,NA,0.0,4,3.0,Somerst,52.0,4,9,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,10,2.302585092994046,3.5,1.7416573867739413,1017.0,220.0,3,168.0,2008,2008,2009,310000.0,12.644327576461329
525,528477070,909.0,886.0,0.0,NA,3,1Fam,4,1,1,0,5,218.0,682.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,782.0,3,3,3,3,Attchd,1795.0,1,GasA,4,2Story,1,3,Lvl,2,10603.0,Inside,3,0.0,060,FV,121.0,Stone,NA,0.0,7,6.0,Somerst,45.0,4,7,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,8,2.0794415416798357,3.5,1.7416573867739413,900.0,213.0,3,168.0,2006,2006,2009,270000.0,12.506177237980511
526,528480040,1082.0,871.0,0.0,NA,3,1Fam,3,2,0,0,4,1082.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,1043.0,3,3,2,3,Attchd,1953.0,1,GasA,4,2Story,1,3,Lvl,2,10574.0,Inside,3,0.0,060,FV,0.0,None,NA,0.0,5,4.0,Somerst,50.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,9,2.1972245773362196,2.5,1.1622776601683795,1082.0,210.0,3,160.0,2005,2006,2009,252000.0,12.437184366493561
